distance_numeric,is_winner,is_top3,days_since_last_race,horse_name_decay_form_90,horse_rank_rolling_mean_10,horse_rank_rolling_std_10,horse_top3_rate_rolling_mean_5,horse_top3_rate_rolling_std_5,race_class_score,track_dist_avg_pos,prev_perf_index,horse_perf_avg_rolling_mean_5,horse_perf_avg_rolling_std_5,track_Ashburton,track_Awapuni,track_Ellerslie,track_Hastings,track_Hawera,track_Matamata,track_New Plymouth,track_Otaki,track_Pukekohe,track_Riccarton,track_Riccarton Synth,track_Rotorua,track_Ruakaka,track_Tauherinikau,track_Taupo,track_Tauranga,track_Te Aroha,track_Te Rapa,track_Trentham,track_Wanganui,track_Waverley,track_Wingatui,track_Woodville,race_type_2yo,race_type_2yoM,race_type_2yof,race_type_3yo,race_type_3yoM,race_type_3yof,race_type_Hrd,race_type_JmpF,race_type_Mdn,race_type_MdnF&M,race_type_MdnSpc,race_type_Open,race_type_R 65,race_type_R 65X,race_type_R 75,race_type_R 75X,race_type_R 85,race_type_WFA,race_type_WFAf&m,horse_name,race_id,position_numeric,relevance_score,group_id
2040.0,0,1,365.0,0.0,2.4885496183206106,2.512395057075209,0.8129770992366412,0.3906761888457202,5,2.75,0.0,0.0008560731104752,0.0010978682557413,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Defibrillate,20221015_Hastings_WFA_2040.0,3.0,2.0,3
2040.0,0,0,7.0,0.5475367201601244,2.6666666666666665,0.5773502691896258,1.0,0.0,5,2.75,0.0010416666666666,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Prise De Fer,20221015_Hastings_WFA_2040.0,6.0,0.0,3
1950.0,0,1,22.0,0.0,3.5,2.1213203435596424,0.5,0.7071067811865476,2,2.0,0.0009677419354838,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Aromatic,20221016_Rotorua_Open_1950.0,2.0,3.0,1
2000.0,0,1,21.0,0.906318457799729,2.25,1.2583057392117916,0.75,0.5,2,2.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Campionessa,20221022_Riccarton_Open_2000.0,2.0,3.0,1
1400.0,1,1,14.0,0.7086139185332333,2.6666666666666665,2.8867513459481287,0.6666666666666666,0.5773502691896258,4,3.6,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Wild Night,20221022_Te Rapa_3yo_1400.0,1.0,4.0,1
1400.0,0,1,14.0,0.6443889628477435,2.25,1.2583057392117916,0.75,0.5,3,3.6,0.0,0.0002083333333333,0.0004166666666666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Romancing The Moon,20221022_Te Rapa_3yof_1400.0,2.0,3.0,1
1600.0,0,1,28.0,0.0,3.0,2.512395057075209,1.0,0.3906761888457202,0,1.2222222222222223,0.0,0.0,0.0010978682557413,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Aquacade,20221022_Te Rapa_R 75_1600.0,2.0,3.0,1
2100.0,0,0,13.0,0.3389047890027251,3.0,1.7320508075688772,0.6666666666666666,0.5773502691896258,2,4.5,0.0005128205128205,0.0003225806451612,0.0005587260669577,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Aromatic,20221029_Awapuni_Open_2100.0,6.0,0.0,1
2050.0,1,1,17.0,0.0,3.0,2.512395057075209,1.0,0.3906761888457202,3,2.0,0.0008169934640522,0.0,0.0010978682557413,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Defibrillate,20221101_Pukekohe_WFA_2050.0,1.0,4.0,1
1600.0,1,1,28.0,0.732934186753738,1.3333333333333333,0.5773502691896257,1.0,0.0,5,1.5,0.0028571428571428,0.0002777777777777,0.0004811252243246,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Pier,20221105_Riccarton_3yo_1600.0,1.0,4.0,1
